ident;dt_adhesion;nb_cart_2005m1;nb_cart_2005m2;nb_cart_2005m3;nb_cart_2005m4;nb_cart_2005m5;nb_cart_2005m6;nb_cart_2005m7;nb_cart_2005m8;nb_cart_2005m9;nb_cart_2005m10;nb_cart_2005m11;nb_cart_2005m12;montant_2005m1;montant_2005m2;montant_2005m3;montant_2005m4;montant_2005m5;montant_2005m6;montant_2005m7;montant_2005m8;montant_2005m9;montant_2005m10;montant_2005m11;montant_2005m12;nb_cart_2006m1;nb_cart_2006m2;nb_cart_2006m3;nb_cart_2006m4;nb_cart_2006m5;nb_cart_2006m6;nb_cart_2006m7;nb_cart_2006m8;nb_cart_2006m9;nb_cart_2006m10;nb_cart_2006m11;nb_cart_2006m12;montant_2006m1;montant_2006m2;montant_2006m3;montant_2006m4;montant_2006m5;montant_2006m6;montant_2006m7;montant_2006m8;montant_2006m9;montant_2006m10;montant_2006m11;montant_2006m12;nb_cart_2007m1;nb_cart_2007m2;nb_cart_2007m3;nb_cart_2007m4;nb_cart_2007m5;nb_cart_2007m6;nb_cart_2007m7;nb_cart_2007m8;nb_cart_2007m9;nb_cart_2007m10;nb_cart_2007m11;nb_cart_2007m12;montant_2007m1;montant_2007m2;montant_2007m3;montant_2007m4;montant_2007m5;montant_2007m6;montant_2007m7;montant_2007m8;montant_2007m9;montant_2007m10;montant_2007m11;montant_2007m12;sexe;IDF;age
652216;17DEC2004;0;180;0;0;0;0;220;0;0;0;0;230;0;53.4;0;0;0;0;69.4;0;0;0;0;72.5;0;0;0;0;250;0;0;0;180;0;270;150;0;0;0;0;0;0;0;0;57.8;0;85.5;49.1;0;0;0;360;0;200;230;0;0;200;300;0;0;0;0;114.8;0;63.4;73.1;0;0;64;96.6;0;0;0;22
652251;17DEC2004;0;0;300;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;0;0;300;0;0;0;0;0;0;0;0;0;0;0;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;350;0;0;0;0;0;0;0;0;0;0;0;112.5;0;0;0;0;0;0;1;1;22
652304;17DEC2004;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;19
652327;17DEC2004;90;0;100;80;0;0;90;0;100;0;180;0;27;0;31.6;25.6;0;0;28.7;0;32;0;57;0;0;0;170;0;0;170;0;0;210;0;0;0;0;0;53.7;0;0;53.7;0;0;66.5;0;0;0;250;0;0;0;250;0;250;0;0;0;300;0;78.9;0;0;0;78.9;0;78.9;0;0;0;95.8;0;0;0;46
652360;17DEC2004;0;0;80;100;0;180;180;0;150;0;0;0;0;0;23.2;32.2;0;55.8;55.8;0;47.5;0;0;0;170;0;150;0;0;0;0;0;0;0;0;0;52.7;0;48.5;0;0;0;0;0;0;0;0;0;160;0;110;0;50;0;0;130;270;0;0;120;49.6;0;34.9;0;16.5;0;0;40.3;87.7;0;0;39.6;0;0;22
652487;17DEC2004;0;0;150;300;0;0;0;250;0;300;0;300;0;0;48.5;96;0;0;0;78.5;0;95;0;94;0;0;0;300;0;0;0;300;0;0;350;0;0;0;0;96;0;0;0;95;0;0;111.5;0;0;350;300;0;300;0;0;350;400;0;200;400;0;109.5;95.6;0;95.4;0;0;111.5;128;0;62.6;126.6;1;1;26
652490;17DEC2004;100;200;0;0;250;0;0;300;0;0;0;250;29.6;61;0;0;80.1;0;0;96.2;0;0;0;79.9;0;0;250;0;0;0;0;250;0;0;300;0;0;0;80.5;0;0;0;0;79.9;0;0;95;0;0;350;0;0;250;0;0;0;0;250;200;0;0;110.3;0;0;80.9;0;0;0;0;80.5;63.6;0;1;0;31
652525;17DEC2004;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;46.5;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;150;0;46.5;0;0;0;0;0;0;0;0;0;46.5;0;0;0;250;0;0;400;0;0;0;0;0;0;0;0;77.5;0;0;124;0;0;0;0;0;1;1;30
652536;17DEC2004;70;0;0;50;0;40;250;0;340;0;80;0;20.3;0;0;15.7;0;12.4;75.4;0;105.8;0;25.4;0;0;0;0;80;0;290;0;130;0;260;0;110;0;0;0;25.4;0;92.7;0;40.7;0;83.6;0;35.7;0;0;80;110;0;100;40;0;60;0;80;120;0;0;25.8;34.7;0;32.6;13.2;0;19.2;0;25.6;38;1;0;26
652572;17DEC2004;0;0;80;0;0;0;0;0;0;0;110;0;0;0;23.2;0;0;0;0;0;0;0;34.3;0;120;0;100;0;140;60;120;0;0;0;210;0;37.2;0;31;0;43.4;18.6;37.2;0;0;0;62;0;0;0;70;0;0;0;100;0;0;0;0;0;0;0;21.9;0;0;0;31;0;0;0;0;0;0;1;19
652597;18DEC2004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;62;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;62;0;0;0;0;0;0;0;0;1;0;19
652611;18DEC2004;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;31.8;0;0;0;0;1;1;23
652641;17DEC2004;0;120;0;100;0;0;0;0;120;0;140;0;0;36.6;0;31.6;0;0;0;0;37.4;0;43.8;0;0;210;0;0;0;0;0;170;0;220;0;0;0;65.5;0;0;0;0;0;52.9;0;69.4;0;0;0;160;80;0;0;0;0;140;50;0;0;200;0;50;26.4;0;0;0;0;43.4;17.5;0;0;64.8;1;1;23
652668;17DEC2004;160;0;0;0;150;0;0;0;310;0;300;0;47;0;0;0;47.7;0;0;0;96.9;0;94.4;0;0;0;0;400;0;0;0;290;0;0;0;0;0;0;0;125.4;0;0;0;90.9;0;0;0;0;0;0;0;240;0;0;0;0;240;0;240;0;0;0;0;75.6;0;0;0;0;75.2;0;75.2;0;1;0;48
652682;17DEC2004;0;0;0;130;0;0;0;0;0;0;0;0;0;0;0;40.7;0;0;0;0;0;0;0;0;190;0;0;0;0;0;0;0;100;0;0;0;59.5;0;0;0;0;0;0;0;31;0;0;0;310;100;150;0;0;0;0;0;140;0;0;0;96.1;31.4;46.5;0;0;0;0;0;43.8;0;0;0;1;0;20
652705;17DEC2004;80;60;0;20;0;0;0;0;0;0;0;0;23.8;17.4;0;6.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;18.8;0;0;40;90;0;0;0;0;50;100;0;0;0;0;0;27.9;0;0;0;0;15.9;31;0;0;0;0;0;1;0;20
652727;18DEC2004;0;90;110;0;0;0;300;0;0;200;0;100;0;26.7;34.3;0;0;0;94.6;0;0;62;0;32;0;0;0;280;420;0;280;0;0;250;0;210;0;0;0;87.2;132.4;0;87.8;0;0;79.7;0;65.7;0;670;0;300;0;0;250;50;0;0;660;0;0;209.1;0;93.8;0;0;78.9;15.5;0;0;209.8;0;0;0;32
652830;18DEC2004;0;150;0;150;0;0;0;250;0;0;0;0;0;45;0;46.5;0;0;0;78.5;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;64;0;0;0;0;0;0;0;0;100;0;0;150;0;0;0;0;0;0;0;0;31;0;0;47.5;0;0;0;1;0;33
652846;18DEC2004;0;0;150;0;0;200;0;0;200;0;0;200;0;0;47.5;0;0;62;0;0;64;0;0;62;0;200;0;0;200;250;0;0;250;0;300;40;0;62;0;0;64;77.5;0;0;77.5;0;94;13.6;0;50;0;350;0;0;0;0;120;50;250;0;0;15.5;0;111.5;0;0;0;0;37.2;15.5;77.9;0;1;0;41
652851;18DEC2004;0;200;0;200;250;0;250;0;250;0;250;0;0;59.5;0;62.6;78.1;0;77.5;0;77.9;0;78.9;0;200;0;230;0;0;300;0;0;0;0;0;150;62.4;0;63;0;0;94;0;0;0;0;0;46.5;250;0;0;0;250;250;0;0;250;0;350;0;77.5;0;0;0;79.1;79.1;0;0;79.1;0;111.5;0;1;1;42
652866;18DEC2004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40
652897;18DEC2004;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22
652899;18DEC2004;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;200;0;200;0;0;63;0;0;0;0;0;0;63.4;0;64.8;0;1;0;19
652903;18DEC2004;100;100;100;100;100;100;0;200;100;0;100;200;29;29.3;29;31.4;31.4;31;0;62;33;0;31;62;0;200;0;200;0;200;0;0;200;0;0;0;0;62;0;62.4;0;62;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19
652964;18DEC2004;0;100;0;100;0;100;100;100;100;0;0;100;0;29;0;31;0;31;31;31;31.2;0;0;31;100;0;0;100;0;100;0;100;0;100;0;100;31;0;0;31.6;0;31;0;31;0;31;0;31;100;0;100;0;0;100;0;100;200;0;0;0;31;0;31.2;0;0;31;0;31;62;0;0;0;1;0;29
652965;18DEC2004;0;0;200;0;0;0;0;0;200;0;0;200;0;0;58;0;0;0;0;0;62;0;0;64;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;62;0;0;0;0;200;0;0;0;200;0;0;0;0;0;0;200;62;0;0;0;62;0;0;0;0;0;0;62;1;0;22
652967;18DEC2004;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;22
653002;18DEC2004;100;150;200;200;200;150;0;400;0;0;200;250;29.3;43.5;63;63.4;62.4;46.5;0;125;0;0;63;77.9;200;0;250;0;250;300;0;200;0;250;250;250;62.8;0;78.7;0;78.9;93.6;0;62.8;0;78.7;78.9;78.7;200;250;300;0;0;250;250;0;250;0;250;400;62.2;78.3;95;0;0;78.7;78.7;0;79.1;0;79.1;126.2;0;0;21
653008;18DEC2004;0;50;0;0;0;0;0;0;0;0;0;0;0;15.4;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;15.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;21
